Nama Kecamatan,Luas Wilayah (m2)
Andir,4220000
Antapani,4220000
Arcamanik,7590000
Astana Anyar,2680000
Babakan Ciparay,7070000
Bandung Kidul,5420000
Bandung Kulon,6950000
Bandung Wetan,3440000
Batununggal,4820000
Bojongloa Kaler,3120000
Bojongloa Kidul,5200000
Buahbatu,7460000
Cibeunying Kaler,4640000
Cibeunying Kidul,4140000
Cibiru,6840000
Cicendo,7790000
Cidadap,8420000
Cinambo,4250000
Coblong,7310000
Gedebage,9960000
Kiaracondong,5800000
Lengkong,5910000
Mandalajati,4800000
Panyileukan,5310000
Rancasari,7010000
Regol,4740000
Sukajadi,5280000
Sukasari,6360000
Sumur Bandung,3490000
Ujungberung,6240000
